,Age,Gender,AcademicStatus,TypeSocialMedia,HoursSMuse,FrqUse,SMCap_1,SMCap_2,EduOutcome,PerformanceExpentancy,EasyofUse,EffortExpentancy,SocialInfuence,SocialMediaRisk,FacilitatingConditions,SelfControl,BehaviouralIntentiontoUse,VountarinessofUse,Experience
145,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Sometimes,Neutral,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,no
146,18 - 24,Male,Student - Full time,Facebook,Less than an hour,Sometimes,Neutral,Neutral,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,no
147,18 - 24,Male,Student - Full time,Facebook,3-5 hours,Often,Disagree,Neutral,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,yes
148,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Always,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Strongly Agree,Neutral,Strongly Agree,Agree,no
149,18 - 24,Male,Student - Part time or Distance Learning,YouTube,3-5 hours,Rarely,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,yes
150,18 - 24,Male,Student - Full time,Facebook,3-5 hours,Always,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,yes
151,18 - 24,Male,Student - Full time,Facebook,More than 5 hours,Sometimes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Strongly Agree,yes
152,18 - 24,Male,Student - Full time,YouTube,More than 5 hours,Rarely,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,no
153,18 - 24,Female,Student - Full time,Facebook,Less than an hour,Sometimes,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,no
154,18 - 24,Male,Non Students,Facebook,3-5 hours,Often,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Disagree,Agree,Agree,no
155,18 - 24,Male,Student - Full time,Facebook,More than 5 hours,Rarely,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,no
156,more than 35,Male,Student - Full time,Others,1-3 hours,Rarely,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,yes
157,18 - 24,Female,Student - Full time,Whatsapp,1-3 hours,Often,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Strongly Agree,Disagree,Agree,Agree,yes
158,18 - 24,Female,Student - Full time,Facebook,1-3 hours,Often,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,yes
159,18 - 24,Female,Student - Full time,YouTube,3-5 hours,Often,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,yes
160,18 - 24,Male,Student - Full time,Facebook,3-5 hours,Sometimes,Strongly Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Disagree,Agree,Agree,no
161,18 - 24,Female,Student - Full time,Facebook,1-3 hours,Often,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,yes
162,18 - 24,Female,Student - Full time,Facebook,3-5 hours,Often,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Neutral,yes
163,18 - 24,Female,Student - Full time,YouTube,3-5 hours,Rarely,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Neutral,Agree,Agree,yes
164,18 - 24,Female,Student - Part time or Distance Learning,Facebook,1-3 hours,Often,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,no
165,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Often,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,no
166,18 - 24,Female,Student - Full time,YouTube,More than 5 hours,Sometimes,Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,yes
167,more than 35,Male,Student - Full time,Facebook,Less than an hour,Rarely,Disagree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,yes
168,18 - 24,Male,Student - Full time,YouTube,3-5 hours,Always,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,yes
169,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Always,Neutral,Strongly Agree,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Strongly Agree,Neutral,Neutral,Neutral,yes
170,18 - 24,Female,Student - Full time,Facebook,3-5 hours,Always,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Strongly Agree,Neutral,Agree,Strongly Agree,no
171,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Sometimes,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,no
172,18 - 24,Female,Student - Full time,Facebook,More than 5 hours,Always,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,yes
173,18 - 24,Female,Student - Full time,Facebook,3-5 hours,Often,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,yes
174,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Sometimes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,no
175,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Often,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Agree,Neutral,yes
176,18 - 24,Male,Non Students,Facebook,Less than an hour,Sometimes,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,yes
177,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Sometimes,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Agree,Agree,yes
178,18 - 24,Male,Non Students,Facebook,More than 5 hours,Always,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Agree,Agree,Agree,yes
179,25-34,Male,Student - Full time,Facebook,Less than an hour,Sometimes,Neutral,Neutral,Strongly Agree,Agree,Agree,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,no
180,18 - 24,Male,Student - Full time,Instagram,1-3 hours,Often,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Agree,Agree,yes
181,18 - 24,Male,Student - Full time,Facebook,Less than an hour,Rarely,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Agree,yes
182,25-34,Male,Student - Full time,Facebook,Less than an hour,Sometimes,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,no
183,18 - 24,Female,Student - Full time,Facebook,3-5 hours,Rarely,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,no
184,18 - 24,Male,Student - Full time,YouTube,3-5 hours,Sometimes,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,yes
185,25-34,Male,Non Students,Facebook,1-3 hours,Sometimes,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Agree,no
186,18 - 24,Female,Student - Full time,Facebook,1-3 hours,Often,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Agree,yes
187,18 - 24,Female,Student - Full time,Facebook,1-3 hours,Sometimes,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,no
188,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Sometimes,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Agree,yes
189,25-34,Male,Student - Full time,Facebook,1-3 hours,Rarely,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,no
190,18 - 24,Female,Non Students,Facebook,1-3 hours,Sometimes,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,yes
191,25-34,Male,Non Students,YouTube,1-3 hours,Rarely,Neutral,Neutral,Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,yes
192,18 - 24,Female,Student - Full time,Facebook,1-3 hours,Always,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,yes
193,18 - 24,Female,Student - Full time,Twitter,3-5 hours,Rarely,Disagree,Neutral,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,no
194,18 - 24,Female,Student - Full time,YouTube,1-3 hours,Sometimes,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,no
195,18 - 24,Male,Student - Full time,YouTube,1-3 hours,Sometimes,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,yes
196,25-34,Male,Student - Full time,Facebook,1-3 hours,Sometimes,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,yes
197,18 - 24,Female,Student - Full time,Facebook,3-5 hours,Always,Agree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,yes
198,25-34,Male,Student - Full time,Facebook,1-3 hours,Rarely,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,yes
199,18 - 24,Male,Student - Full time,Facebook,3-5 hours,Often,Agree,Strongly Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,no
200,18 - 24,Female,Student - Full time,Facebook,1-3 hours,Often,Agree,Strongly Agree,Neutral,Disagree,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,no
201,18 - 24,Male,Student - Full time,Facebook,More than 5 hours,Always,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,no
202,18 - 24,Male,Student - Full time,Facebook,3-5 hours,Often,Neutral,Neutral,Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,no
203,25-34,Male,Student - Full time,Facebook,1-3 hours,Rarely,Disagree,Neutral,Agree,Agree,Agree,Neutral,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,yes
204,18 - 24,Male,Student - Full time,Others,1-3 hours,Never,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,yes
205,18 - 24,Female,Student - Full time,Others,1-3 hours,Never,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Neutral,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,yes
206,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Rarely,Disagree,Agree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Strongly Agree,Agree,Neutral,Neutral,yes
207,18 - 24,Female,Student - Full time,Facebook,3-5 hours,Often,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Disagree,Neutral,Strongly Agree,Neutral,Neutral,Neutral,no
208,more than 35,Female,Student - Full time,Facebook,Less than an hour,Always,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,yes
209,18 - 24,Female,Student - Full time,YouTube,Less than an hour,Sometimes,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Agree,no
210,18 - 24,Male,Student - Full time,Facebook,Less than an hour,Rarely,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Strongly Agree,Neutral,Agree,Neutral,no
211,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Always,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,yes
212,18 - 24,Male,Student - Full time,YouTube,More than 5 hours,Always,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Agree,Agree,Neutral,yes
213,18 - 24,Male,Student - Full time,Facebook,3-5 hours,Often,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,no
214,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Always,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,no
215,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Sometimes,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Agree,yes
216,25-34,Female,Student - Full time,YouTube,1-3 hours,Rarely,Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,yes
217,18 - 24,Female,Student - Full time,Facebook,3-5 hours,Often,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,no
218,18 - 24,Male,Non Students,Facebook,3-5 hours,Sometimes,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,yes
219,18 - 24,Female,Student - Full time,YouTube,1-3 hours,Rarely,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,yes
220,18 - 24,Female,Student - Full time,YouTube,3-5 hours,Always,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,yes
221,25-34,Male,Student - Part time or Distance Learning,Facebook,Less than an hour,Sometimes,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Agree,yes
222,18 - 24,Female,Student - Full time,Facebook,3-5 hours,Sometimes,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,yes
223,18 - 24,Male,Student - Full time,Facebook,3-5 hours,Sometimes,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,no
224,18 - 24,Female,Student - Full time,Facebook,More than 5 hours,Always,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,yes
225,more than 35,Male,Student - Full time,Facebook,1-3 hours,Often,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Neutral,Agree,Neutral,yes
226,25-34,Male,Student - Full time,Facebook,3-5 hours,Sometimes,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Strongly Agree,Agree,Disagree,Agree,Neutral,Neutral,Neutral,yes
227,18 - 24,Female,Student - Full time,Facebook,3-5 hours,Often,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,no
228,more than 35,Male,Student - Full time,Facebook,1-3 hours,Often,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,no
229,more than 35,Female,Student - Full time,Facebook,1-3 hours,Always,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,yes
230,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Rarely,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,no
231,25-34,Female,Non Students,Facebook,Less than an hour,Often,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,no
232,18 - 24,Male,Student - Full time,Facebook,More than 5 hours,Sometimes,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,no
233,more than 35,Male,Student - Full time,Facebook,Less than an hour,Sometimes,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,yes
234,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Always,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Agree,yes
235,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Often,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,yes
236,more than 35,Male,Student - Full time,Facebook,3-5 hours,Always,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,no
237,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Often,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,yes
238,more than 35,Male,Student - Full time,Facebook,1-3 hours,Often,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,no
239,25-34,Male,Student - Full time,Facebook,1-3 hours,Often,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Neutral,yes
240,25-34,Male,Student - Full time,Facebook,1-3 hours,Sometimes,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Agree,no
241,18 - 24,Female,Student - Full time,YouTube,More than 5 hours,Always,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,no
242,25-34,Female,Student - Full time,Facebook,1-3 hours,Sometimes,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,no
243,18 - 24,Male,Student - Full time,Facebook,3-5 hours,Always,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,yes
244,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Sometimes,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Neutral,no
245,more than 35,Male,Student - Full time,Facebook,1-3 hours,Often,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,no
246,25-34,Female,Student - Full time,Facebook,1-3 hours,Often,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,no
247,18 - 24,Male,Student - Full time,YouTube,Less than an hour,Rarely,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,yes
248,18 - 24,Female,Student - Full time,Facebook,1-3 hours,Rarely,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Agree,yes
249,more than 35,Male,Student - Full time,Facebook,1-3 hours,Sometimes,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,yes
250,25-34,Male,Student - Full time,Facebook,3-5 hours,Always,Strongly Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Agree,no
251,18 - 24,Male,Student - Full time,YouTube,Less than an hour,Rarely,Strongly Disagree,Disagree,Neutral,Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Neutral,Neutral,no
252,18 - 24,Female,Student - Full time,Facebook,More than 5 hours,Always,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Disagree,Agree,Strongly Agree,Agree,Agree,no
253,more than 35,Male,Student - Full time,Viber,Less than an hour,Rarely,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,no
254,more than 35,Male,Student - Full time,Facebook,1-3 hours,Often,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,yes
255,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Always,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Neutral,Strongly Agree,Agree,no
256,18 - 24,Female,Student - Full time,Facebook,1-3 hours,Often,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Agree,no
257,18 - 24,Male,Student - Full time,Facebook,3-5 hours,Often,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Neutral,Disagree,Agree,Agree,Neutral,Neutral,yes
258,18 - 24,Male,Student - Full time,YouTube,3-5 hours,Rarely,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Agree,no
259,18 - 24,Female,Student - Full time,YouTube,3-5 hours,Sometimes,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,yes
260,25-34,Male,Student - Full time,Facebook,1-3 hours,Sometimes,Neutral,Disagree,Agree,Agree,Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,yes
261,more than 35,Male,Student - Full time,Facebook,1-3 hours,Always,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,no
262,25-34,Male,Student - Full time,Facebook,1-3 hours,Often,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,yes
263,18 - 24,Female,Student - Full time,YouTube,Less than an hour,Sometimes,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,yes
264,18 - 24,Male,Student - Full time,YouTube,More than 5 hours,Always,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,yes
265,18 - 24,Male,Student - Full time,YouTube,1-3 hours,Sometimes,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,yes
266,25-34,Female,Student - Full time,Facebook,Less than an hour,Sometimes,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,no
267,18 - 24,Male,Student - Full time,Facebook,Less than an hour,Sometimes,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,no
268,18 - 24,Male,Student - Part time or Distance Learning,Facebook,1-3 hours,Sometimes,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,yes
269,25-34,Male,Student - Full time,Facebook,Less than an hour,Sometimes,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,no
270,18 - 24,Female,Student - Full time,Facebook,1-3 hours,Always,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,Agree,yes
271,25-34,Male,Student - Full time,Facebook,1-3 hours,Sometimes,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,no
272,25-34,Male,Student - Full time,Facebook,1-3 hours,Often,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,yes
273,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Always,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,yes
274,more than 35,Male,Student - Full time,Facebook,1-3 hours,Often,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,yes
275,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Always,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,no
276,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Rarely,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,no
277,25-34,Male,Student - Full time,Facebook,1-3 hours,Sometimes,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,yes
278,18 - 24,Female,Student - Full time,Instagram,Less than an hour,Rarely,Disagree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,yes
279,more than 35,Female,Student - Full time,Facebook,1-3 hours,Sometimes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,no
